PN,DESCRIPCION,VENDOR,PIECES PER BOX,OTROS,OTROS
SB27A43009,BDPLANAR OCS JBOF Storage Server Asm,DataDirect Networks  Inc,,M1079117-001,
SM37A21351,MEMORY HMA82GR7CJR4N-VK 16G 2666 M1a,DataDirect Networks  Inc,,M1098844-001,
STA7A90504,ECAT_TLA C2030 V2 Non-LES L6 w/o CSR-I,DataDirect Networks  Inc,,M1122759-001,
SC57A33166,CARDPOP C2010 DV 1U L Riser Card,DataDirect Networks  Inc,,M1039573-001,
SSS7A43370,SSD H HFS1T9GD0FEH-A430A M.2 M1-a,DEI LOGISTICS USA CORP,,M1116293-001,
SH47A70469,HEATSINK M1 Gen 7.x CPU Heatsink,DEI LOGISTICS USA CORP,,M1098874-001,
SP57A48679,PWR_SUPPLY V3_2000W_MSFT_ITIC,DELTA ELECTRONICS THAILAND PUBLIC,,M1102216-001,
SM37A21430,MEMORY MTA18ASF2G72PZ-2G9E1 16G M1,DELTA ELECTRONICS THAILAND PUBLIC,,M1120781-001,
SM37A21431,MEMORY MTA18ASF2G72PZ-2G9E1 16G M1a,DELTA ELECTRONICS THAILAND PUBLIC,,M1120781-001,
SM37A21425,MEMORY HMA84GR7CJR4N-WMT 32G M1a,DELTA ELECTRONICS THAILAND PUBLIC,,M1103679-001,
SM37A68619,MEMORY MTA18ASF2G72PZ-2G6J1 16G M1,DELTA ELECTRONICS THAILAND PUBLIC,,M1145206-001,
SM37A68620,MEMORY MTA18ASF2G72PZ-2G6J1 16G M1a,DELTA ELECTRONICS THAILAND PUBLIC,,M1145206-001,
SB27A65530,BDPLANAR SN650C MLK Non-LES L6 Assembly,DELTA ELECTRONICS THAILAND PUBLIC,,M1113377-001,
SSA7A44092,SP CLX 8280M 28C/2.7G/205W/38.5M,DELTA ELECTRONICS THAILAND PUBLIC,,M1121192-001,
SM37A68616,MEMORY HMA82GR7DJR4N-WM 16G M1a,DELTA ELECTRONICS THAILAND PUBLIC,,M1142880-001,
SC17A42052,CABLE 1.0m 100G DAC QSFP,DELTA ELECTRONICS THAILAND PUBLIC,,M1113201-001,
SH47A94416,HEATSINK C2080 CPU Heatsink,DELTA ELECTRONICS THAILAND PUBLIC,,M1140201-001,
SC17A61124,CABLE 1.5m 100G DAC QSFP-M,DELTA ELECTRONICS THAILAND PUBLIC,,M1113202-001,
SH47A66068,HEATSINK SN650C MLK CPU Heatsink-CM,DELTA ELECTRONICS THAILAND PUBLIC,,M1098874-001,
SSG7A57439,SWITCH Citrix MPX 15041T Load Balancer,DELTA ELECTRONICS THAILAND PUBLIC,,M1084535-001,
SM17A43028,MECH_ASM OOB Rack Manager,FCI NanTong Ltd,,M1033509-001,
SM37A91204,MEMORY HMAA4GR7CJR4N-XN 32G 1RX4 M1a,FCI NanTong Ltd,,M1185094-001,
STA7A92563,ECAT_TLA S2130 V2 L6 Asm-W EXO,Flextronics International Europe,,M1165175-001,
SC57A94399,CARDPOP C2080 1U FPGA Riser Card,Flextronics International EuropeB V,,M1126123-001,
0000000YG851,MECHANICAL MSFT 48U Rack,INGRASYS SINGAPORE PTE LTD,,X906837-001,
STA7A43652,ECAT_TLA C2030/S2130 MB with Ass parts,INGRASYS SINGAPORE PTE LTD,,M1089834-002,
SHD7A74333,HDD WD WUH721816ALN6L6 16T 3.5 M1,INGRASYS SINGAPORE PTE LTD,,M1158600-001,
STA7A43651,ECAT_TLA C2030/S2130 MB with Ass parts,INGRASYS SINGAPORE PTE LTD,,M1089834-002,
SC17A68147,CABLE 32AWG QSFP28 Cable,INGRASYS SINGAPORE PTE LTD,,M1132732-001,
SHD7A74309,HDD MG08SCA16TA 16T 3.5 SAS M1,INGRASYS SINGAPORE PTE LTD,,M1157067-001,
SN37A92189,NETWRK_CRD MCX565A-CDAI_C11 OCP3.0 M1,INGRASYS SINGAPORE PTE LTD,,M1168449-001,
SSS7B01852,SSD S MZCL21T9HCJR-00AMV 2T E1.S M1a,INGRASYS SINGAPORE PTE LTD,,M1161587-001,
SM37B05248,MEMORY M MTC20F1045S1RC48BAT 32GB M1a,INGRASYS SINGAPORE PTE LTD,,No MSPN,
SC17A95369,CABLE 50mm MB to PSU PWR Cable,INGRASYS SINGAPORE PTE LTD,,M1173646-001,
SC17A46645,CABLE Power Relay Cable,INGRASYS SINGAPORE PTE LTD,,M1041461-001,
SSA7A75400,SP SKL 8160 24C/2.1G/150W/33M M1,INGRASYS SINGAPORE PTE LTD,,M1093384-001,
SH47A97788,HEATSINK CPU_RHS,INGRASYS SINGAPORE PTE LTD,,M1213897-001,
SB27A65529,BDPLANAR SN650C MLK LES L6 Assembly,INGRASYS SINGAPORE PTE LTD,,M1082497-001,
SM37A68706,MEMORY S M393A4K40DB2-CVF 32G M1-A,INGRASYS SINGAPORE PTE LTD,,M1150894-001,
SC17A42054,CABLE 2.0m 100G DAC QSFP,INGRASYS SINGAPORE PTE LTD,,M1069297-001,
SPU7A42048,PDU 30/32A 3U Power Splitter,INGRASYS SINGAPORE PTE LTD,,X946451-001,
SSS7B01861,SSD S MZ1L2960HCJR-00AMV 1T M.2 M1a,INGRASYS SINGAPORE PTE LTD,,M1159486-001,
SB27A67508,BDPLANAR OCS6100 Non-LES 1U L6 Asm C621,INGRASYS SINGAPORE PTE LTD,,M1112137-001,1A6205500-600
SC87A95367,CHASSIS C2080 1U Chassis Kit,INGRASYS SINGAPORE PTE LTD,,M1172998-001,
SC87B01855,CHASSIS OCS S2130 V2 Chassis Asm,INGRASYS SINGAPORE PTE LTD,,M1122489-003,
SB27A67509,BDPLANAR OCS6100 2U LES L6 Asm C621,INGRASYS SINGAPORE PTE LTD,,M1067745-002,
SSS7A75317,SSD HFS3T8GEEWX091N 3.84T E1.S M1,INGRASYS SINGAPORE PTE LTD,,M1173423-001,
SC87A50261,CHASSIS OCS C2030 Chassis Asm,INGRASYS SINGAPORE PTE LTD,,M1089824-002,
SC57A62938,CARDPOP PCIe Re-Timer Card,INGRASYS SINGAPORE PTE LTD,,M1104230-001,
SM37A91203,MEMORY HMAA4GR7CJR4N-XN 32G 1RX4 M1,INGRASYS SINGAPORE PTE LTD,,M1185094-001,
SHD7A74375,HDD ST18000NM019J 18T 3.5 M1,INGRASYS SINGAPORE PTE LTD,,M1161591-001,
SB27A74981,BDPLANAR J2010 JBOD L6 Asm,INGRASYS SINGAPORE PTE LTD,,M1074294-002,
SSS7A43101,SSD Sm PM1725B 6.4T AIC M1 A,INGRASYS SINGAPORE PTE LTD,,M1102221-001,
SB27A00838,ECAT_TLA Mg board for M1(Beast),INGRASYS SINGAPORE PTE LTD,,M1102207-001,
SM37A21412,MEMORY MTA36ASF2G72PZ-2G6F1 16G M1a,INGRASYS SINGAPORE PTE LTD,,M1107679-001,
SC87A50333,CHASSIS OCS S2130 V2 Chassis Asm,INTEL AMERICAS INC,,M1122489-002,
SM37A21409,MEMORY HMA84GR7JJR4N-VK 32G 2666 M1,King Slide Technology Co Ltd,,M1121908-001,
SM37A21410,MEMORY HMA84GR7JJR4N-VK 32G 2666 M1a,King Slide Technology Co Ltd,,M1121908-001,
SC57A57649,CARDPOP Arsenic 2x16 PCIe for M1,LC FUTURE CENTER LIMITED,,M1250826-001,
STA7B04063,ECAT_TLA C2030 V2 Non-LES L6 Asm I-TW,Lenovo Global Technology,,M1122759-001,
SSS7A75341,SSD HFS7T6GEEWX091N 7.68T E1.S M1,Lenovo Global Technology,,M1190036-001,
SC57A65532,CARDPOP SN750C G2 M.2 Riser Card,Lenovo Global Technology HK Limited,,M1083467-001,
SC87B01853,CHASSIS OCS C2030 V2 Chassis Asm,Lenovo Global Technology HK Limited,,M1122455-003,
SP57A44789,PWR_SUPPLY V3_750W_MSFT_ITIC,Lenovo Global Technology HK Limited,,M1102146-001,
SB27A84469,BDPLANAR C2010 L6 Asm w/ PCH627,LITE ON TECHNOLOGY CORPORATION,,M1157547-001,
SHD7A74272,HDD ST 3.5 7.2K SATA 16T HDD M1-A,LITE ON TECHNOLOGY CORPORATION,,M1128013-001,
SC17A48093,CABLE 165mm MB to PDB Cable,LITE ON TECHNOLOGY CORPORATION,,M1013205-001,
0000000YG833,CARDPOP MS Network Sw,LITE ON TECHNOLOGY CORPORATION,,X909530-001,
SM37A21465,MEMORY HMA82GR7JJR4N-VK 6G M1,LITE ON TECHNOLOGY CORPORATION,,M1128312-001,
SM37A21466,MEMORY HMA82GR7JJR4N-VK 16G M1a,LITE ON TECHNOLOGY CORPORATION,,M1128312-001,
SSS7A43368,SSD H HFS960GD0FEG-A430A M.2 M1-a,Maysteel Industries LLC,,M1116291-001,
SF17A97784,FAN System_4056,Mellanox Technologies Inc.,,M1202129-001,
SSA7A57356,SP Intel 8171M SKL 26C/2.6G/205W/35.75M,Mellanox Technologies Inc.,,M1076365-001,
SP27A92554,PAD TIM Pad AVA Card Top,Mellanox Technologies Inc.,,M1164187-001,
SC57A22913,CARDPOP M.2 Riser Card,MOLEX CONNECTOR CORP,,M1083467-001,
SC57A63079,CARDPOP 1U PCIe Riser GAUD,MOLEX CONNECTOR CORP,,M1039573-001,
SSS7A75339,SSD MZ1L23T8HBLA-00AMV 3.84T M1,MOLEX CONNECTOR CORP,,M1159488-001,
SM37A21375,MEMORY MTA36ASF4G72PZ-2G6E1 32G M1a,MOLEX CONNECTOR CORP,,M1093858-001,
SC17A61573,CABLE 420mm Fan Cable Assembly,Nan Juen International Co Ltd,,M1082261-001,
SC17A61081,CABLE 0.58m Mini SAS HD Cable,Nan Juen International Co Ltd,,M1103893-001,
SPU7A33128,PDU 48U Vertical PMDU,Nan Juen International Co Ltd,,M1033505-001,
SC17A73246,CABLE 1.5m 100G QSFP28 Breakout Cable,Nan Juen International Co Ltd,,M1069290-001,
SP27A92555,PAD TIM Pad AVA Card Bottom,Nan Juen International Co Ltd,,M1164188-001,
SC17A92560,CABLE 95mm WCS Data Cable,NIDEC AMERICA CORPORATION,,M1155028-001,
SSS7A92196,SSD S MZCL23T8HCLS-00AMV 4T E1.S M1,NVIDIA CORP,,M1161592-001,
SHD7B05976,HDD ST20000NM011D 20T SATA HDD M1,Power Systems Technologies Limited,,M1208850-001,
SSS7A75176,SSD S MZ1LB960HBJR-00AMV M.2 M1a,QUANTA COMPUTER INCORPORATED,,M1157644-001,
SC17A57451,CABLE 2m 100G QSFP28 Breakout Cable,QUANTA COMPUTER INCORPORATED,,M1069301-001,
SSA7A25870,SP SKL 8180M 28C/2.5G/205W/38.5M,QUANTA COMPUTER INCORPORATED,,M1093382-001,
SB27A33161,BDPLANAR MSFT Gen 6.1 L6 Assembly,QUANTA COMPUTER INCORPORATED,,M1067746-002,
SC87B01565,CHASSIS C2184-CHASSIS-NCT2,QUANTA COMPUTER INCORPORATED,,No MSPN,
SSS7A75294,SSD S MZ1LB3T8HALA-00AMV 3.84T M1a,QUANTA COMPUTER INCORPORATED,,M1157642-001,
SM27A33150,MECHANICAL 1U Airflow Blocker,QUANTA COMPUTER INCORPORATED,,M1010532-001,
SC17A61078,CABLE 0.39m Mini SAS HD Cable,QUANTA COMPUTER INCORPORATED,,M1089602-001,
SC17A48094,CABLE 100mm Power Cable-A,QUANTA COMPUTER INCORPORATED,,M1039691-001,
SC57A22914,CARDPOP 1U PCIe Riser,QUANTA COMPUTER INCORPORATED,,M1039573-001,RWHHW-H216 / DD0JBWHP413
SC57A68896,CARDPOP SN650C G2 C621 MB,QUANTA COMPUTER INCORPORATED,,M1126962-002,
SC57A94156,CARDPOP A2030 WCS LOW PROFILE,QUANTA COMPUTER INCORPORATED,,M1129703-001,
SF17A97782,FAN System_4056,QUANTA COMPUTER INCORPORATED,,M1186416-002,
SC87A94157,CHASSIS CHAS EM-L6 WCS S2180S,QUANTA COMPUTER INCORPORATED,,M1131270-003,
SM37A21328,MEMORY S M393AAK40B42-CWD 128G M1,QUANTA COMPUTER INCORPORATED,,M1093390-001,
SSS7A92193,SSD S MZ1L2960HCJR-00AMV 1T M.2 M1,QUANTA COMPUTER INCORPORATED,,M1159486-001,
SL27A16987,LATCH Ruler Drive Latch,QUANTA COMPUTER INCORPORATED,,M1086238-002,
SB27A67507,BDPLANAR OCS6100 LES 1U L6 Asm C621,QUANTA COMPUTER INCORPORATED,,M1067746-002,
SSA7A83734,SP CLX 8249C 26C/2.10G/150W/35.75M M1,QUANTA COMPUTER INCORPORATED,,M1116393-001,
SP57A90408,PWR_SUPPLY P2011 PSU-EVT,QUANTA COMPUTER INCORPORATED,,No MSPN,
SH47A82151,HEATSINK HTSINK AVA CARD M.2 135X22X6MM,QUANTA COMPUTER INCORPORATED,,M1091965-001,
SH47A33157,HEATSINK C2010 Heatsink,QUANTA COMPUTER INCORPORATED,,M1021855-001,
SC57A68193,CARDPOP Nicholas Peak FPGA Card,QUANTA COMPUTER INCORPORATED,,M1040125-003,
SC17A69588,CABLE MB Power and Signal Cable,QUANTA COMPUTER INCORPORATED,,M1200987-001,
0000001KM759,PWR_SUPPLY MSFT Universal PDU,QUANTA COMPUTER INCORPORATED,,M1033538-001,
SC57A63078,CARDPOP M.2 Riser Card,QUANTA COMPUTER INCORPORATED,,M1083467-001,
SC87A94166,CHASSIS CHAS EM-L6 WDS S2180E,QUANTA COMPUTER INCORPORATED,,M1154882-002,
SC17A57877,CABLE 1.5m Power Relay Cable,QUANTA COMPUTER INCORPORATED,,M1082092-001,
SC17A92553,CABLE Celestial Peak USB Cable,QUANTA COMPUTER INCORPORATED,,M1159553-001,
SSA7A25363,SP SKL 8160 24C/2.1G/150W/33M,QUANTA COMPUTER INCORPORATED,,M1093384-001,RWHHW-H218
SM37B00847,MEMORY M MTC40F2046S1RC48BAT 64G CSP,QUANTA COMPUTER INCORPORATED,,No MSPN,RWHHW-H217
SM37B07074,MEMORY S M321R4GA0BB0-CQK 32G 1RX4 M1a,QUANTA COMPUTER INCORPORATED,,M1215509-001,
SP57A33158,PWR_SUPPLY Flextronics 1020W PSU,QUANTA COMPUTER INCORPORATED,,M1042985-002,
SH47A97790,HEATSINK CPU_RHS,QUANTA COMPUTER INCORPORATED,,No MSPN,
STA7A86517,ECAT_TLA C2030 V2-I LES L6 w/ Cerebrus,RITTAL CORPORATION ,,M1149933-002,
SM27A33149,MECHANICAL OCS Server Track,RITTAL CORPORATION ,,M1039232-001,
SM37A21416,MEMORY S M386AAG40MMB-CVF 128G M1,RITTAL CORPORATION ,,M1125238-001,
0000001DE121,TRANSCVR 40GbE to 10GbE,SEAGATE TECHNOLOGY LLC,,X909526-001,
SC17A97104,CABLE 100mm Power Cable-M,SEAGATE TECHNOLOGY LLC,,M1039691-001,
SC57A75090,CARDPOP Ing OCS7100 L6 MB,SEAGATE TECHNOLOGY LLC,,M1089834-001,
SC17A61591,CABLE 495mm S2130 Power Cable,SIT Funding Corp,,M1082269-001,
SC57A82148,CARDPOP AVA Card + Mech,SIT Funding Corp.,,M1065151-001,
SHD7A74406,HDD Tos MG09ACP18TA 18T 3.5 M1,SIT Funding Corp.,,M1187148-001,
SC57A41598,CARDPOP Oculink Riser,TOSHIBA AMERICA INFORMATION SYSTEMS,,No MSPN,
SM37A47292,MEMORY S M393A4K40CB2-CTD 32G 26R M1,TYCO ELECTRONICS CORP,,M1068434-001,
SC17A61587,CABLE 260mm Power/Signal Cable,TYCO ELECTRONICS CORP,,M1082266-001,
SC57A42062,CARDPOP AVA Card w/ Heatsink,TYCO ELECTRONICS CORP,,M1102261-001,
SC57A33165,CARDPOP C2010 M.2 Riser Card Assembly,USI GUAD,,M1039575-001,
SH47A94158,HEATSINK HTSINK MASSY REMOTE SNGL SCKT,USI GUAD,,M1131274-001,
SM37A21424,MEMORY HMA84GR7CJR4N-WMT 32G M1,USI GUAD,,M1103679-001,
SF17A95368,FAN C2080 40x56 12V Fan Asm,USI GUAD,,M1174441-003,
SM27A48091,MECHANICAL 0.66 in Nylon Standoff,VERITIV CORPORATION,,M1030301-001,
SP27A44306,PAD PM983 Top Thermal Pad,VERITIV CORPORATION,,M1091970-001,
SSS7A75319,SSD WUS4AB0A1D9ELE7 15.36T E1.L M1,VERITIV CORPORATION,,M1173426-001,
SC17A57448,CABLE 2m 1x100G to 2x50G DAC,VERITIV CORPORATION,,M1069203-001,
SHD7A74315,HDD WUH721414ALN600 14T IPDC M1a,VERITIV CORPORATION,,M1123459-001,
SC87A50366,CHASSIS C2184-CHASSIS,VERITIV CORPORATION,,M1183146-002,CSN-S02A8-03000-6PS15B-S
SHD7A74420,HDD ST18000NM018J 18T 3.5 SED M1,VERITIV CORPORATION,,M1161590-001,
SM27A93018,MECHANICAL C2184_E1S_Latch_Ingrasys,WESTERN DIGITAL TECHNOLOGIES INC,,M1152277-003,
SC17A57449,CABLE 1m 100G QSFP28 Breakout Cable-M,WESTERN DIGITAL TECHNOLOGIES INC,,M1113205-001,
SB27A75094,BDPLANAR Ing OCS7100 1U Non-LES L6 Asm,WESTERN DIGITAL TECHNOLOGIES INC,,M1113377-001,
SL17A04117,LABEL Asset label for HS,WESTERN DIGITAL TECHNOLOGIES INC,,M1125585-001,
SC17A57447,CABLE 1m 1x100G to 2x50G DAC,WESTERN DIGITAL TECHNOLOGIES INC,,M1074255-001,
SP27A44307,PAD PM983 Bottom Thermal Pad,WESTERN DIGITAL TECHNOLOGIES INC,,M1091972-001,
SC57B04453,CARDPOP C2080 1U FPGA Riser Card W-TW,WESTERN DIGITAL TECHNOLOGIES INC,,M1126123-001,
