SKU,Description,Cost
SM30E51119,MEMORY S M393A2G40DB0CPB 16GB D421R   ,
SM30K02152,MEMORY S M393A2K40BB2CTD 16GB D426R,
SM30L13366,MEMORY S M393A2K43BB1CTD 16GB D426R   ,
SM30K02153,MEMORY S M393A4K40BB2CTD 32GB D426R   ,
SM30G07949,MEMORY S M393B5173QH0CMA 4GB D318R    ,
SM30G97395,MEMORY TBD 16GB D421E                  ,
000000C62612,SP 3120A,
SSA0F61392,SP 3120A                                ,
SSA0F61430,SP A10 PRO8750B 3.6GHz/4C/4MB 65W CPU  ,
SSA0F66683,SP A10 PRO8770E 2.8GHz/4C/2M 35W AM4   ,
000000C62602,SP A106700                             ,
000000C62603,SP A106800B                            ,
SSA0F61336,SP A107800B                            ,
SSA0F66681,SP A12 PRO8870E 2.9GHz/4C/2M 35W AM4   ,
SSA0F61411,SP A4 PRO7300B 3.8GHz/                 ,
SSA0F61433,SP A4 PRO8350B 3.5GHz/2C/1MB 65W CPU   ,
000000C62595,SP A46300                              ,
000000C62596,SP A46300B                             ,
SSA0F61432,SP A6 PRO8550B 3.7GHz/2C/1MB 65W CPU   ,
000000C62597,SP A66400B                             ,
SSA0F61335,SP A67400B                             ,
SSA0F61431,SP A8 PRO8650B 3.2GHz/4C/4MB 65W CPU   ,
000000C62599,SP A86500                              ,
000000C62600,SP A86500B                             ,
SSA0F61316,SP A87600                              ,
SSA0F61334,SP A87600B                             ,
SSA0F66659,SP AMD A109700E 3.0GHz/4C/2M 35W AM4   ,
SSA0F66669,SP AMD PRO A109700E 3.0GHz/4C/2M 35WAM4,
SSA0F66667,SP AMD A129800E 3.1GHz/4C/2M 35W AM4   ,
SSA0F66666,SP AMD PRO A69500E 3.0GHz/2C/1M 35W AM4,
SSA0J21669,SP Intel E52682v4                      ,
000000C64541,SP E31220V3                            ,
000000C64528,SP E31225v3                            ,
SSA0D93079,SP E31225v3                            ,
SSA0F61324,SP E31226v3                            ,
000000C64532,SP E31230v3                            ,
SSA0F61321,SP E31231v3                            ,
000000C64531,SP E31240v3                            ,
